index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,source_kind,source_project,source_run_name,source_created,notes
42,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=1,fertilization,A2C,jybgxsht,final_successful_runs\final_113\bundles\042_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
43,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=1,fertilization,A2C,lhscmvcd,final_successful_runs\final_113\bundles\043_fertilization_a2c_adaptive_random_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
44,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=1,fertilization,A2C,893c20oz,final_successful_runs\final_113\bundles\044_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
45,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=2,fertilization,A2C,52w7qbjy,final_successful_runs\final_113\bundles\045_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
46,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=2,fertilization,A2C,khrd5xki,final_successful_runs\final_113\bundles\046_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
47,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=2,fertilization,A2C,abab40vl,final_successful_runs\final_113\bundles\047_fertilization_a2c_adaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
48,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=2,fertilization,A2C,t3fma04s,final_successful_runs\final_113\bundles\048_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
49,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=0,fertilization,A2C,ovs5i452,final_successful_runs\final_113\bundles\049_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
50,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=0,fertilization,A2C,dvw9frdm,final_successful_runs\final_113\bundles\050_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
51,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=0,fertilization,A2C,8askyhte,final_successful_runs\final_113\bundles\051_fertilization_a2c_adaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
52,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=0,fertilization,A2C,seskixy2,final_successful_runs\final_113\bundles\052_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
53,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=1,fertilization,A2C,ly6ib8mx,final_successful_runs\final_113\bundles\053_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
54,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=1,fertilization,A2C,iazt2tsh,final_successful_runs\final_113\bundles\054_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
55,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=1,fertilization,A2C,4nenmctl,final_successful_runs\final_113\bundles\055_fertilization_a2c_adaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
56,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=1,fertilization,A2C,mkyczcz6,final_successful_runs\final_113\bundles\056_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
57,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=2,fertilization,A2C,u7uzdtty,final_successful_runs\final_113\bundles\057_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
58,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=2,fertilization,A2C,fvsjq1rw,final_successful_runs\final_113\bundles\058_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
59,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=2,fertilization,A2C,unah01kj,final_successful_runs\final_113\bundles\059_fertilization_a2c_adaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
60,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=2,fertilization,A2C,z3rvls3l,final_successful_runs\final_113\bundles\060_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
61,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=0,fertilization,A2C,sz1zyl7q,final_successful_runs\final_113\bundles\061_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
62,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=0,fertilization,A2C,i1e6bx11,final_successful_runs\final_113\bundles\062_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
63,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=0,fertilization,A2C,6up2mact,final_successful_runs\final_113\bundles\063_fertilization_a2c_adaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
64,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=0,fertilization,A2C,kde2dkkv,final_successful_runs\final_113\bundles\064_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
65,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=1,fertilization,A2C,fhf1d6nz,final_successful_runs\final_113\bundles\065_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
66,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=1,fertilization,A2C,cog4zjo9,final_successful_runs\final_113\bundles\066_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
67,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=1,fertilization,A2C,tfvbvob4,final_successful_runs\final_113\bundles\067_fertilization_a2c_adaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
68,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=1,fertilization,A2C,newvepiz,final_successful_runs\final_113\bundles\068_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
69,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=2,fertilization,A2C,ccvrlhi6,final_successful_runs\final_113\bundles\069_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
70,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=2,fertilization,A2C,x62zhmdl,final_successful_runs\final_113\bundles\070_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
71,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=2,fertilization,A2C,3pbpg5sa,final_successful_runs\final_113\bundles\071_fertilization_a2c_adaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
72,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=2,fertilization,A2C,tnxtaunb,final_successful_runs\final_113\bundles\072_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,
73,Crop planning | PPO | adaptive | fixed_weather | seed=0,crop_planning,PPO,0oscoexc,final_successful_runs\final_113\bundles\073_crop_planning_ppo_adaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,crop_planning_run_has_no_vec_normalize_artifact
74,Crop planning | PPO | nonadaptive | fixed_weather | seed=0,crop_planning,PPO,mni6lluw,final_successful_runs\final_113\bundles\074_crop_planning_ppo_nonadaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,crop_planning_run_has_no_vec_normalize_artifact
75,Crop planning hierarchical | PPO | fixed_weather | seed=0 | profile=pakistan_baseline,crop_planning,PPO,txqt5qoz,final_successful_runs\final_113\bundles\075_crop_planning_hierarchical_ppo_fixed_weather_seed_0_profile_pakistan_baseline,generated,copied,copied,copied,copied,copied,copied,copied_run_core_json,copied,missing,missing,missing,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,effortless-yogurt-2,2026-03-11T15:50:45.000Z,summary_json_reconstructed_from_recovered_export;recovered_wandb_export_bundle;recovered_backup_has_no_models_checkpoint_dir;hierarchical_report_dir_not_present_in_recovered_backup
