index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
39,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=0,fertilization,A2C,suqqtmoo,final_successful_runs\bundles\039_fertilization_a2c_adaptive_random_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
40,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=0,fertilization,A2C,techtnp8,final_successful_runs\bundles\040_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
41,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=1,fertilization,A2C,hfo2uk4f,final_successful_runs\bundles\041_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
42,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=1,fertilization,A2C,jybgxsht,final_successful_runs\bundles\042_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
43,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=1,fertilization,A2C,lhscmvcd,final_successful_runs\bundles\043_fertilization_a2c_adaptive_random_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
44,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=1,fertilization,A2C,893c20oz,final_successful_runs\bundles\044_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
45,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=2,fertilization,A2C,52w7qbjy,final_successful_runs\bundles\045_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
46,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=2,fertilization,A2C,khrd5xki,final_successful_runs\bundles\046_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
47,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=2,fertilization,A2C,abab40vl,final_successful_runs\bundles\047_fertilization_a2c_adaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
48,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=2,fertilization,A2C,t3fma04s,final_successful_runs\bundles\048_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
49,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=0,fertilization,A2C,ovs5i452,final_successful_runs\bundles\049_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
