num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
101,0,2006-12-02,2006,336,2,120.0,80.0,18.0,2650.4348400000003,8600.008,1014.8174999999999,12265.260339999999,-0.10499058663845062,False,,,"[0, 8, 7, 1, 8, 10, 3]"
102,0,2006-12-09,2006,343,2,15.0,64.0,12.0,331.30435500000004,6880.0064,676.545,7887.8557550000005,-0.06710229068994522,False,,,"[1, 5, 6, 5, 1, 8, 2]"
103,0,2006-12-16,2006,350,2,150.0,40.0,54.0,3313.0435500000003,4300.004,3044.4525,10657.50005,-0.09006838500499725,False,,,"[1, 5, 9, 6, 10, 5, 9]"
104,0,2006-12-23,2006,357,2,30.0,56.0,6.0,662.6087100000001,6020.0056,338.2725,7020.886810000001,-0.058950599282979965,False,,,"[0, 11, 0, 0, 2, 7, 1]"
105,0,2006-12-30,2006,364,2,120.0,32.0,60.0,2650.4348400000003,3440.0032,3382.725,9473.163040000001,-0.0730951577425003,False,,,"[0, 6, 5, 4, 8, 4, 10]"
106,0,2007-01-06,2007,6,3,15.0,0.0,0.0,343.69564499999996,0.0,0.0,343.69564499999996,-0.002850436605513096,True,,SoybeanMG.3,"[1, 12, 3, 3, 1, 0, 0]"
107,0,2007-01-13,2007,13,3,30.0,16.0,30.0,687.3912899999999,1582.911568,1423.92483,3694.227688,-0.030476294457912445,False,,,"[0, 8, 7, 0, 2, 2, 5]"
108,0,2007-01-20,2007,20,3,15.0,48.0,30.0,343.69564499999996,4748.734704,1423.92483,6516.355179,-0.05347921699285507,False,,,"[0, 12, 0, 2, 1, 6, 5]"
109,0,2007-01-27,2007,27,3,150.0,72.0,60.0,3436.9564499999997,7123.102056,2847.84966,13407.908166,-0.10939403623342514,False,,,"[1, 8, 3, 2, 10, 9, 10]"
110,0,2007-02-03,2007,34,3,120.0,72.0,42.0,2749.5651599999997,7123.102056,1993.4947619999998,11866.161978,-0.09620403498411179,False,,,"[1, 13, 2, 3, 8, 9, 7]"
111,0,2007-02-10,2007,41,3,0.0,48.0,6.0,0.0,4748.734704,284.784966,5033.519670000001,-0.040564533323049545,False,,,"[0, 10, 3, 9, 0, 6, 1]"
112,0,2007-02-17,2007,48,3,30.0,0.0,24.0,687.3912899999999,0.0,1139.139864,1826.5311539999998,-0.014641103334724903,False,,,"[1, 12, 6, 9, 2, 0, 4]"
113,0,2007-02-24,2007,55,3,60.0,56.0,30.0,1374.7825799999998,5540.190488,1423.92483,8338.897898,-0.06648042052984238,False,,,"[1, 12, 0, 4, 4, 7, 5]"
114,0,2007-03-03,2007,62,3,75.0,8.0,18.0,1718.4782249999998,791.455784,854.3548979999999,3364.2889069999997,-0.026687495410442352,False,,,"[0, 4, 4, 9, 5, 1, 3]"
115,0,2007-03-10,2007,69,3,0.0,24.0,36.0,0.0,2374.367352,1708.7097959999999,4083.0771480000003,-0.032238759100437164,False,,,"[0, 3, 4, 5, 0, 3, 6]"
116,0,2007-03-17,2007,76,3,45.0,0.0,6.0,1031.0869349999998,0.0,284.784966,1315.8719009999998,-0.010347403585910797,False,,,"[1, 13, 4, 5, 3, 0, 1]"
117,0,2007-03-24,2007,83,3,105.0,40.0,48.0,2405.869515,3957.2789199999997,2278.279728,8641.428162999999,-0.0676657035946846,False,,,"[0, 1, 1, 1, 7, 5, 8]"
118,0,2007-03-31,2007,90,3,150.0,80.0,12.0,3436.9564499999997,7914.5578399999995,569.569932,11921.084222,-0.09291212260723114,False,,,"[1, 3, 3, 0, 10, 10, 2]"
119,0,2007-04-07,2007,97,3,105.0,72.0,12.0,2405.869515,7123.102056,569.569932,10098.541503,-0.0783214196562767,False,,,"[0, 12, 7, 3, 7, 9, 2]"
120,0,2007-04-14,2007,104,3,45.0,72.0,6.0,1031.0869349999998,7123.102056,284.784966,8438.973956999998,-0.06512433290481567,False,,,"[0, 4, 8, 3, 3, 9, 1]"
121,0,2007-04-21,2007,111,3,120.0,16.0,6.0,2749.5651599999997,1582.911568,284.784966,4617.261694,-0.03546452149748802,False,,,"[1, 0, 6, 3, 8, 2, 1]"
122,0,2007-04-28,2007,118,3,150.0,8.0,24.0,3436.9564499999997,791.455784,1139.139864,5367.552097999999,-0.04104206711053848,False,,,"[1, 12, 7, 3, 10, 1, 4]"
123,0,2007-05-05,2007,125,3,30.0,64.0,6.0,687.3912899999999,6331.646272,284.784966,7303.822528,-0.0555974505841732,False,,,"[1, 5, 2, 8, 2, 8, 1]"
124,0,2007-05-12,2007,132,3,75.0,40.0,0.0,1718.4782249999998,3957.2789199999997,0.0,5675.757145,-0.04301810637116432,False,,,"[1, 2, 3, 8, 5, 5, 0]"
125,0,2007-05-19,2007,139,3,15.0,72.0,12.0,343.69564499999996,7123.102056,569.569932,8036.367633,-0.060644231736660004,False,,,"[1, 7, 6, 3, 1, 9, 2]"
126,0,2007-05-26,2007,146,3,60.0,48.0,12.0,1374.7825799999998,4748.734704,569.569932,6693.087216000001,-0.05029098689556122,False,,,"[0, 8, 0, 3, 4, 6, 2]"
127,0,2007-06-02,2007,153,3,120.0,24.0,24.0,2749.5651599999997,2374.367352,1139.139864,6263.072375999999,-0.04686317965388298,False,,,"[1, 6, 8, 2, 8, 3, 4]"
128,0,2007-06-09,2007,160,3,120.0,72.0,42.0,2749.5651599999997,7123.102056,1993.4947619999998,11866.161978,-0.08838453888893127,False,,,"[0, 6, 8, 9, 8, 9, 7]"
129,0,2007-06-16,2007,167,3,150.0,56.0,42.0,3436.9564499999997,5540.190488,1993.4947619999998,10970.6417,-0.08132060617208481,False,,,"[1, 9, 1, 7, 10, 7, 7]"
130,0,2007-06-23,2007,174,3,0.0,80.0,42.0,0.0,7914.5578399999995,1993.4947619999998,9908.052602,-0.07307789474725723,False,,,"[0, 0, 7, 0, 0, 10, 7]"
131,0,2007-06-30,2007,181,3,150.0,64.0,18.0,3436.9564499999997,6331.646272,854.3548979999999,10622.95762,-0.07794299721717834,False,,,"[0, 5, 4, 5, 10, 8, 3]"
132,0,2007-07-07,2007,188,3,120.0,56.0,0.0,2749.5651599999997,5540.190488,0.0,8289.755648,-0.06050679087638855,False,,,"[0, 3, 6, 3, 8, 7, 0]"
133,0,2007-07-14,2007,195,3,135.0,16.0,48.0,3093.260805,1582.911568,2278.279728,6954.452100999999,-0.05050134286284447,False,,,"[1, 2, 3, 3, 9, 2, 8]"
134,0,2007-07-21,2007,202,3,90.0,0.0,54.0,2062.1738699999996,0.0,2563.0646939999997,4625.238563999999,-0.03342564031481743,False,,,"[1, 11, 6, 6, 6, 0, 9]"
135,0,2007-07-28,2007,209,3,60.0,64.0,24.0,1374.7825799999998,6331.646272,1139.139864,8845.568716,-0.06361376494169235,False,,,"[0, 9, 7, 1, 4, 8, 4]"
136,0,2007-08-04,2007,216,3,120.0,8.0,24.0,2749.5651599999997,791.455784,1139.139864,4680.160808,-0.033503174781799316,False,,,"[0, 4, 8, 9, 8, 1, 4]"
137,0,2007-08-11,2007,223,3,30.0,0.0,6.0,687.3912899999999,0.0,284.784966,972.176256,-0.006931150797754526,False,,,"[0, 10, 7, 7, 2, 0, 1]"
138,0,2007-08-18,2007,230,3,60.0,72.0,6.0,1374.7825799999998,7123.102056,284.784966,8782.669601999998,-0.06235767900943756,False,,,"[1, 3, 5, 0, 4, 9, 1]"
139,0,2007-08-25,2007,237,3,150.0,72.0,24.0,3436.9564499999997,7123.102056,1139.139864,11699.19837,-0.08269857615232468,False,,,"[0, 12, 0, 7, 10, 9, 4]"
