index,label,bundle_dir,summary_json_relpath,wandb_summary_relpath,run_id,status,domain,method,seed,fixed_weather,weather_label,nonadaptive,adaptive,adaptive_label,hierarchical,baseline,total_years,budget_label,price_profile,nutrient_action_mode,report_group,primary_metric_name,primary_metric_value,deterministic_return,eval_det_mean_reward,eval_sto_mean_reward,stochastic_return_mean,stochastic_return_std,pak_holdout_return,baseline_best_return,uplift_vs_best_baseline_det,runtime_seconds,source_kind,source_project,source_run_name,source_created,notes,replacement_reason,replacement_previous_run_id,guardrail_enforce_calendar_windows,guardrail_limit_fertilizer_to_season,guardrail_annual_n_budget,guardrail_annual_p_budget,guardrail_annual_k_budget,hierarchical_export_match,hierarchical_export_det_return,hierarchical_export_eval_det_mean_reward,group_key
22,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2/summary/022_fertilization_ppo_seed2_hFalse.json,artifacts/final_successful_runs/final_113/bundles/022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2/wandb/wandb-summary.json,th45fezf,finished,fertilization,PPO,2,True,fixed_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,791255.5,791255.5,,,791255.5,0.0,791130.8125,,,1476.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | fixed_weather | years=3000
23,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2/summary/023_fertilization_ppo_seed2_hFalse.json,artifacts/final_successful_runs/final_113/bundles/023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2/wandb/wandb-summary.json,c068izb3,finished,fertilization,PPO,2,False,random_weather,False,True,adaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,741000.625,741000.625,,,723017.75,9688.8984375,719151.8125,,,1669.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | random_weather | years=3000
24,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2/summary/024_fertilization_ppo_seed2_hFalse.json,artifacts/final_successful_runs/final_113/bundles/024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2/wandb/wandb-summary.json,mhrv8ogj,finished,fertilization,PPO,2,False,random_weather,True,False,nonadaptive,False,False,3000.0,3000,pakistan_baseline,NPK,fertilization_core,deterministic_return,750198.0,750198.0,,,747952.375,1833.5960693359375,747778.25,,,1552.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | random_weather | years=3000
25,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0/summary/025_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0/wandb/wandb-summary.json,y5c1ruhw,finished,fertilization,PPO,0,True,fixed_weather,False,True,adaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,783564.9375,783564.9375,,,716041.1875,18244.232421875,715120.1875,,,2088.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | fixed_weather | years=5000
26,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0/summary/026_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0/wandb/wandb-summary.json,hucthmou,finished,fertilization,PPO,0,True,fixed_weather,True,False,nonadaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,791255.5,791255.5,,,783487.0625,11982.232421875,776776.0625,,,2200.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | fixed_weather | years=5000
27,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0/summary/027_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0/wandb/wandb-summary.json,z0jsfylh,finished,fertilization,PPO,0,False,random_weather,False,True,adaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,714017.375,714017.375,,,693742.625,7932.6796875,684955.8125,,,2325.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | random_weather | years=5000
28,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0/summary/028_fertilization_ppo_seed0_hFalse.json,artifacts/final_successful_runs/final_113/bundles/028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0/wandb/wandb-summary.json,0rffe5e9,finished,fertilization,PPO,0,False,random_weather,True,False,nonadaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,715177.9375,715177.9375,,,693760.125,33451.109375,656717.875,,,2062.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | random_weather | years=5000
29,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1/summary/029_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1/wandb/wandb-summary.json,9sgit2cp,finished,fertilization,PPO,1,True,fixed_weather,False,True,adaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,791255.5,791255.5,,,790361.875,1094.462646484375,785778.375,,,2154.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | fixed_weather | years=5000
30,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1/summary/030_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1/wandb/wandb-summary.json,8eqcw1fu,finished,fertilization,PPO,1,True,fixed_weather,True,False,nonadaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,775617.0625,775617.0625,,,768758.25,4604.34326171875,769438.375,,,2131.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | nonadaptive | fixed_weather | years=5000
31,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1/summary/031_fertilization_ppo_seed1_hFalse.json,artifacts/final_successful_runs/final_113/bundles/031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1/wandb/wandb-summary.json,n51ugwjm,finished,fertilization,PPO,1,False,random_weather,False,True,adaptive,False,False,5000.0,5000,pakistan_baseline,NPK,fertilization_core,deterministic_return,725565.25,725565.25,,,673578.375,23487.66796875,672277.0,,,2270.0,existing_curated_bundle,artifacts/final_successful_runs/bundles,,,,,,,,,,,False,,,PPO | adaptive | random_weather | years=5000
