index,label,bundle_dir,summary_json_path,summary_json_count,summary_json_present_actual,wandb_summary_present_actual,model_zip_present_actual,best_model_present_actual,vec_normalize_present_actual,hierarchical_report_present_actual,is_replacement,report_group,source_kind,source_project,notes,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status
21,Fertilization | PPO | adaptive | fixed_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/021_fertilization_ppo_adaptive_fixed_weather_years_3000_seed_2/summary/021_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
22,Fertilization | PPO | nonadaptive | fixed_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/022_fertilization_ppo_nonadaptive_fixed_weather_years_3000_seed_2/summary/022_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
23,Fertilization | PPO | adaptive | random_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/023_fertilization_ppo_adaptive_random_weather_years_3000_seed_2/summary/023_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
24,Fertilization | PPO | nonadaptive | random_weather | years=3000 | seed=2,artifacts/final_successful_runs/final_113/bundles/024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2,artifacts/final_successful_runs/final_113/bundles/024_fertilization_ppo_nonadaptive_random_weather_years_3000_seed_2/summary/024_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
25,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/025_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_0/summary/025_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
26,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/026_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_0/summary/026_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
27,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/027_fertilization_ppo_adaptive_random_weather_years_5000_seed_0/summary/027_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
28,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=0,artifacts/final_successful_runs/final_113/bundles/028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0,artifacts/final_successful_runs/final_113/bundles/028_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_0/summary/028_fertilization_ppo_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
29,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/029_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_1/summary/029_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
30,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/030_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_1/summary/030_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
31,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/031_fertilization_ppo_adaptive_random_weather_years_5000_seed_1/summary/031_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
32,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=1,artifacts/final_successful_runs/final_113/bundles/032_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_1,artifacts/final_successful_runs/final_113/bundles/032_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_1/summary/032_fertilization_ppo_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
33,Fertilization | PPO | adaptive | fixed_weather | years=5000 | seed=2,artifacts/final_successful_runs/final_113/bundles/033_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_2,artifacts/final_successful_runs/final_113/bundles/033_fertilization_ppo_adaptive_fixed_weather_years_5000_seed_2/summary/033_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
34,Fertilization | PPO | nonadaptive | fixed_weather | years=5000 | seed=2,artifacts/final_successful_runs/final_113/bundles/034_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_2,artifacts/final_successful_runs/final_113/bundles/034_fertilization_ppo_nonadaptive_fixed_weather_years_5000_seed_2/summary/034_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
35,Fertilization | PPO | adaptive | random_weather | years=5000 | seed=2,artifacts/final_successful_runs/final_113/bundles/035_fertilization_ppo_adaptive_random_weather_years_5000_seed_2,artifacts/final_successful_runs/final_113/bundles/035_fertilization_ppo_adaptive_random_weather_years_5000_seed_2/summary/035_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
36,Fertilization | PPO | nonadaptive | random_weather | years=5000 | seed=2,artifacts/final_successful_runs/final_113/bundles/036_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_2,artifacts/final_successful_runs/final_113/bundles/036_fertilization_ppo_nonadaptive_random_weather_years_5000_seed_2/summary/036_fertilization_ppo_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
37,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=0,artifacts/final_successful_runs/final_113/bundles/037_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_0,artifacts/final_successful_runs/final_113/bundles/037_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_0/summary/037_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
38,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=0,artifacts/final_successful_runs/final_113/bundles/038_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_0,artifacts/final_successful_runs/final_113/bundles/038_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_0/summary/038_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
39,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=0,artifacts/final_successful_runs/final_113/bundles/039_fertilization_a2c_adaptive_random_weather_years_1000_seed_0,artifacts/final_successful_runs/final_113/bundles/039_fertilization_a2c_adaptive_random_weather_years_1000_seed_0/summary/039_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
40,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=0,artifacts/final_successful_runs/final_113/bundles/040_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_0,artifacts/final_successful_runs/final_113/bundles/040_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_0/summary/040_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
41,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=1,artifacts/final_successful_runs/final_113/bundles/041_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_1,artifacts/final_successful_runs/final_113/bundles/041_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_1/summary/041_fertilization_a2c_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
42,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=1,artifacts/final_successful_runs/final_113/bundles/042_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_1,artifacts/final_successful_runs/final_113/bundles/042_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_1/summary/042_fertilization_a2c_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
43,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=1,artifacts/final_successful_runs/final_113/bundles/043_fertilization_a2c_adaptive_random_weather_years_1000_seed_1,artifacts/final_successful_runs/final_113/bundles/043_fertilization_a2c_adaptive_random_weather_years_1000_seed_1/summary/043_fertilization_a2c_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
44,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=1,artifacts/final_successful_runs/final_113/bundles/044_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_1,artifacts/final_successful_runs/final_113/bundles/044_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_1/summary/044_fertilization_a2c_seed1_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
45,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/045_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/045_fertilization_a2c_adaptive_fixed_weather_years_1000_seed_2/summary/045_fertilization_a2c_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
46,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/046_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/046_fertilization_a2c_nonadaptive_fixed_weather_years_1000_seed_2/summary/046_fertilization_a2c_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
47,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/047_fertilization_a2c_adaptive_random_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/047_fertilization_a2c_adaptive_random_weather_years_1000_seed_2/summary/047_fertilization_a2c_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
48,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=2,artifacts/final_successful_runs/final_113/bundles/048_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_2,artifacts/final_successful_runs/final_113/bundles/048_fertilization_a2c_nonadaptive_random_weather_years_1000_seed_2/summary/048_fertilization_a2c_seed2_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
49,Fertilization | A2C | adaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/049_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/049_fertilization_a2c_adaptive_fixed_weather_years_3000_seed_0/summary/049_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
50,Fertilization | A2C | nonadaptive | fixed_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/050_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/050_fertilization_a2c_nonadaptive_fixed_weather_years_3000_seed_0/summary/050_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
51,Fertilization | A2C | adaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/051_fertilization_a2c_adaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/051_fertilization_a2c_adaptive_random_weather_years_3000_seed_0/summary/051_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
52,Fertilization | A2C | nonadaptive | random_weather | years=3000 | seed=0,artifacts/final_successful_runs/final_113/bundles/052_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_0,artifacts/final_successful_runs/final_113/bundles/052_fertilization_a2c_nonadaptive_random_weather_years_3000_seed_0/summary/052_fertilization_a2c_seed0_hFalse.json,1,True,True,True,True,True,False,False,fertilization_core,existing_curated_bundle,artifacts/final_successful_runs/bundles,,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing
