num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
47,0,2005-11-19,2005,323,1,30.0,24.0,30.0,610.43478,2393.4961919999996,1439.8265399999998,4443.757511999999,-0.06089189648628235,False,,,"[0, 4, 9, 7, 2, 3, 5]"
48,0,2005-11-26,2005,330,1,150.0,56.0,6.0,3052.1739000000002,5584.824447999999,287.965308,8924.963656,0.81397545337677,False,,,"[0, 1, 9, 4, 10, 7, 1]"
49,0,2005-12-03,2005,337,1,15.0,24.0,6.0,305.21739,2393.4961919999996,287.965308,2986.6788899999992,-0.04125584289431572,False,,,"[1, 10, 4, 5, 1, 3, 1]"
50,0,2005-12-10,2005,344,1,15.0,64.0,42.0,305.21739,6382.656512,2015.757156,8703.631057999999,-0.12053750455379486,False,,,"[1, 0, 1, 0, 1, 8, 7]"
51,0,2005-12-17,2005,351,1,90.0,72.0,36.0,1831.3043400000001,7180.488576,1727.7918479999998,10739.584764,-0.1488339602947235,False,,,"[1, 11, 8, 6, 6, 9, 6]"
52,0,2005-12-24,2005,358,1,75.0,72.0,60.0,1526.0869500000001,7180.488576,2879.6530799999996,11586.228606,-0.1603235900402069,False,,,"[0, 3, 4, 0, 5, 9, 10]"
53,0,2005-12-31,2005,365,1,150.0,8.0,42.0,3052.1739000000002,797.832064,2015.757156,5865.76312,-0.09030739963054657,False,,,"[0, 4, 8, 6, 10, 1, 7]"
54,0,2006-01-07,2006,7,2,0.0,48.0,54.0,0.0,5160.004800000001,3044.4525,8204.4573,-0.11288940906524658,True,True,CornRM.100,"[0, 1, 5, 4, 0, 6, 9]"
55,0,2006-01-14,2006,14,2,15.0,64.0,6.0,331.30435500000004,6880.0064,338.2725,7549.5832550000005,-0.10343103110790253,False,,,"[1, 12, 6, 2, 1, 8, 1]"
56,0,2006-01-21,2006,21,2,30.0,24.0,42.0,662.6087100000001,2580.0024000000003,2367.9075,5610.51861,-0.07651303708553314,False,,,"[0, 2, 0, 0, 2, 3, 7]"
57,0,2006-01-28,2006,28,2,45.0,56.0,6.0,993.9130650000001,6020.0056,338.2725,7352.191165,-0.09972897917032242,False,,,"[1, 13, 7, 7, 3, 7, 1]"
58,0,2006-02-04,2006,35,2,30.0,0.0,6.0,662.6087100000001,0.0,338.2725,1000.88121,-0.013519210740923882,False,,,"[1, 7, 6, 6, 2, 0, 1]"
59,0,2006-02-11,2006,42,2,120.0,40.0,0.0,2650.4348400000003,4300.004,0.0,6950.438840000001,-0.09342654794454575,False,,,"[1, 12, 1, 5, 8, 5, 0]"
60,0,2006-02-18,2006,49,2,15.0,80.0,0.0,331.30435500000004,8600.008,0.0,8931.312355,-0.11933334171772003,False,,,"[0, 10, 0, 0, 1, 10, 0]"
